FirstName,LastName,DOB,Phone,Email,Address,City,State,Zip,Occupation,Preference,Phase,Approved?,Update
Mary,Ford,1997-03-15,427-525-6706,hendrixcarl@hotmail.com,026 Jones Plains,Blackton,OR,97999,Higher education careers adviser,cat,adopting,False,2003-06-19
Stefanie,Hall,1994-09-06,144-536-2056,johnpayne@yahoo.com,6401 Landry Path Apt. 105,Katieport,WA,93174,Field trials officer,dog,adopting,True,2001-06-22
Amy,Olsen,1995-04-25,717-687-3630,cwade@hotmail.com,92172 Karla Shore,East Andrea,CA,98757,"Programme researcher, broadcasting/film/video",dog,fostering,True,2001-09-06
Jeffery,Miller,1989-07-15,119-437-5825,srodriguez@riley.com,15113 Berry Fields,Smithmouth,OR,90366,Leisure centre manager,cat,adopting,False,2000-10-21
Glen,Young,1972-08-06,871-826-7074,bryanedward@hotmail.com,85024 Jeremy Course,Dawnton,WA,91877,Youth worker,cat,adopting,False,2003-01-26
Joshua,Miller,1976-08-23,359-152-8804,jennifer62@yahoo.com,9083 Jones Walk,Port Reginaberg,CA,96259,Lexicographer,dog,fostering,True,2002-03-11
Beverly,Carter,1976-12-14,539-418-7790,michael50@hotmail.com,215 Scott Corner,Thomasland,OR,93592,"Surveyor, hydrographic",cat,adopting,True,2001-03-02
Sharon,Moore,1986-05-30,542-634-4087,nicholas31@williams.com,8923 Maldonado Island Apt. 004,Juliefort,CA,99487,Medical laboratory scientific officer,cat,fostering,True,2003-04-01
Andrew,Jones,1971-05-20,992-997-6339,taylorellis@vaughn.com,377 Miller Garden Apt. 689,Ronaldchester,OR,93282,Housing manager/officer,cat,adopting,False,2002-02-06
Nathan,Owen,1995-04-28,663-335-1719,william17@baker-williams.info,13766 Haas Gardens Apt. 271,Bellmouth,CA,95293,Amenity horticulturist,dog,adopting,False,2003-12-15
Tanya,Jones,1980-10-02,227-118-3010,amy87@hotmail.com,3578 Bennett Knoll Suite 171,Lake Yolanda,CA,98872,Catering manager,cat,fostering,True,2002-01-13
Austin,Santos,1992-06-18,406-964-4873,jschmidt@barker.org,0460 Kim Heights Suite 172,North Eric,OR,97955,"Engineer, electronics",dog,adopting,True,2003-12-21
